S.No,Crop Name,ScientificName,n,P,K,Zn,MN_Fe_B_Cu
508,Barley,,Low,Low,Low,VeryLow,VeryLow
509,ChickPea,,M,Low,M,VeryLow,VeryLow
510,PigeonPea,,M,Low,Low,VeryLow,VeryLow
511,SoyaBean,,High,Low,M,VeryLow,VeryLow
512,Jute,,M,Low,M,VeryLow,VeryLow
513,Rubber,,Low,M,Low,,
514,Tea,,High,Low,M,,
515,Tobacco,,High,Low,M,,
516,Apple,,High,Low,M,,
517,CustardApple,,M,Low,M,,
518,WaterMelon,,High,Low,M,,
519,Beetroot,,High,High,High,,
520,Carrot,,High,High,M,,
521,Rice,Oryza sativum,High,M,M,High,Medium
522,Wheat,Triticum,High,Low,M,Medium,Medium
523,Maize,Zea mays,High,High,Low,Low,VeryLow
524,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
525,Coconut,Cocus nucifera,M,High,M,Low,Low
526,Chilli,Capsicum frutescens,High,M,M,Low,Low
527,Cotton,Gossypium,High,M,M,Low,Low
528,Redgram,Cajanus cajan,Low,M,Low,Low,Low
529,Onion,Allium sepa,High,M,High,High,High
530,Potato,Solanum tuberosum,High,High,High,Low,Low
531,Brinjal,Solanum melongena,High,M,M,Low,Low
532,Drumstick,Moringa oleifera,M,Low,High,Low,Low
533,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
534,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
535,Banana,Musa acuminata,High,High,High,M,M
536,Tomato,Solanum lycopersicum,High,M,M,Low,Low
537,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
538,Mango,Mangifera indica,High,High,M,Medium,Medium
539,Castor,Ricinus communis,High,M,High,Medium,Low
540,Mustard,Brassica   ,High,M,M,Low,Low
541,Cucumber,Cucumis sativus,Low,High,High,Low,Low
542,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
543,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
544,Pumpkin,Cucurbita,High,M,High,Medium,Medium
545,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
546,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
547,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
548,Sun Flower,Helianthus,High,M,M,Low,VeryLow
549,Garlic,,High,Low,High,,VeryLow
550,Peas,,High,Low,High,VeryLow,VeryLow
551,Orange,,High,Low,High,VeryLow,VeryLow
552,Celery,,High,Low,High,VeryLow,VeryLow
553,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
554,TableTomato,,High,Low,High,VeryLow,VeryLow
555,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
556,Sorghum,,M,Low,M,VeryLow,VeryLow
557,PearlMillet,,M,Low,M,VeryLow,VeryLow
558,Raagi,,Low,Low,Low,VeryLow,VeryLow
559,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
560,Barley,,Low,Low,Low,VeryLow,VeryLow
561,ChickPea,,M,Low,M,VeryLow,VeryLow
562,PigeonPea,,M,Low,Low,VeryLow,VeryLow
563,SoyaBean,,High,Low,M,VeryLow,VeryLow
564,Jute,,M,Low,M,VeryLow,VeryLow
565,Rubber,,Low,M,Low,,
566,Tea,,High,Low,M,,
567,Tobacco,,High,Low,M,,
568,Apple,,High,Low,M,,
569,CustardApple,,M,Low,M,,
570,WaterMelon,,High,Low,M,,
571,Beetroot,,High,High,High,,
572,Carrot,,High,High,M,,
573,Rice,Oryza sativum,High,M,M,High,Medium
574,Wheat,Triticum,High,Low,M,Medium,Medium
575,Maize,Zea mays,High,High,Low,Low,VeryLow
576,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
577,Coconut,Cocus nucifera,M,High,M,Low,Low
578,Chilli,Capsicum frutescens,High,M,M,Low,Low
579,Cotton,Gossypium,High,M,M,Low,Low
580,Redgram,Cajanus cajan,Low,M,Low,Low,Low
581,Onion,Allium sepa,High,M,High,High,High
582,Potato,Solanum tuberosum,High,High,High,Low,Low
583,Brinjal,Solanum melongena,High,M,M,Low,Low
584,Drumstick,Moringa oleifera,M,Low,High,Low,Low
585,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
586,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
587,Banana,Musa acuminata,High,High,High,M,M
588,Tomato,Solanum lycopersicum,High,M,M,Low,Low
589,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
590,Mango,Mangifera indica,High,High,M,Medium,Medium
591,Castor,Ricinus communis,High,M,High,Medium,Low
592,Mustard,Brassica   ,High,M,M,Low,Low
593,Cucumber,Cucumis sativus,Low,High,High,Low,Low
594,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
595,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
596,Pumpkin,Cucurbita,High,M,High,Medium,Medium
597,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
598,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
599,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
600,Sun Flower,Helianthus,High,M,M,Low,VeryLow
601,Garlic,,High,Low,High,,VeryLow
602,Peas,,High,Low,High,VeryLow,VeryLow
603,Orange,,High,Low,High,VeryLow,VeryLow
604,Celery,,High,Low,High,VeryLow,VeryLow
605,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
606,TableTomato,,High,Low,High,VeryLow,VeryLow
607,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
608,Sorghum,,M,Low,M,VeryLow,VeryLow
609,PearlMillet,,M,Low,M,VeryLow,VeryLow
610,Raagi,,Low,Low,Low,VeryLow,VeryLow
611,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
612,Barley,,Low,Low,Low,VeryLow,VeryLow
613,ChickPea,,M,Low,M,VeryLow,VeryLow
614,PigeonPea,,M,Low,Low,VeryLow,VeryLow
615,SoyaBean,,High,Low,M,VeryLow,VeryLow
616,Jute,,M,Low,M,VeryLow,VeryLow
617,Rubber,,Low,M,Low,,
618,Tea,,High,Low,M,,
619,Tobacco,,High,Low,M,,
620,Apple,,High,Low,M,,
621,CustardApple,,M,Low,M,,
622,WaterMelon,,High,Low,M,,
623,Beetroot,,High,High,High,,
624,Carrot,,High,High,M,,
625,Rice,Oryza sativum,High,M,M,High,Medium
626,Wheat,Triticum,High,Low,M,Medium,Medium
627,Maize,Zea mays,High,High,Low,Low,VeryLow
628,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
629,Coconut,Cocus nucifera,M,High,M,Low,Low
630,Chilli,Capsicum frutescens,High,M,M,Low,Low
631,Cotton,Gossypium,High,M,M,Low,Low
632,Redgram,Cajanus cajan,Low,M,Low,Low,Low
633,Onion,Allium sepa,High,M,High,High,High
634,Potato,Solanum tuberosum,High,High,High,Low,Low
635,Brinjal,Solanum melongena,High,M,M,Low,Low
636,Drumstick,Moringa oleifera,M,Low,High,Low,Low
637,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
638,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
639,Banana,Musa acuminata,High,High,High,M,M
640,Tomato,Solanum lycopersicum,High,M,M,Low,Low
641,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
642,Mango,Mangifera indica,High,High,M,Medium,Medium
643,Castor,Ricinus communis,High,M,High,Medium,Low
644,Mustard,Brassica   ,High,M,M,Low,Low
645,Cucumber,Cucumis sativus,Low,High,High,Low,Low
646,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
647,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
648,Pumpkin,Cucurbita,High,M,High,Medium,Medium
649,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
650,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
651,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
652,Sun Flower,Helianthus,High,M,M,Low,VeryLow
653,Garlic,,High,Low,High,,VeryLow
654,Peas,,High,Low,High,VeryLow,VeryLow
655,Orange,,High,Low,High,VeryLow,VeryLow
656,Celery,,High,Low,High,VeryLow,VeryLow
657,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
658,TableTomato,,High,Low,High,VeryLow,VeryLow
659,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
660,Sorghum,,M,Low,M,VeryLow,VeryLow
661,PearlMillet,,M,Low,M,VeryLow,VeryLow
662,Raagi,,Low,Low,Low,VeryLow,VeryLow
663,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
664,Barley,,Low,Low,Low,VeryLow,VeryLow
665,ChickPea,,M,Low,M,VeryLow,VeryLow
666,PigeonPea,,M,Low,Low,VeryLow,VeryLow
667,SoyaBean,,High,Low,M,VeryLow,VeryLow
668,Jute,,M,Low,M,VeryLow,VeryLow
669,Rubber,,Low,M,Low,,
670,Tea,,High,Low,M,,
671,Tobacco,,High,Low,M,,
672,Apple,,High,Low,M,,
673,CustardApple,,M,Low,M,,
674,WaterMelon,,High,Low,M,,
675,Beetroot,,High,High,High,,
676,Carrot,,High,High,M,,
677,Rice,Oryza sativum,High,M,M,High,Medium
678,Wheat,Triticum,High,Low,M,Medium,Medium
679,Maize,Zea mays,High,High,Low,Low,VeryLow
680,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
681,Coconut,Cocus nucifera,M,High,M,Low,Low
682,Chilli,Capsicum frutescens,High,M,M,Low,Low
683,Cotton,Gossypium,High,M,M,Low,Low
684,Redgram,Cajanus cajan,Low,M,Low,Low,Low
685,Onion,Allium sepa,High,M,High,High,High
686,Potato,Solanum tuberosum,High,High,High,Low,Low
687,Brinjal,Solanum melongena,High,M,M,Low,Low
688,Drumstick,Moringa oleifera,M,Low,High,Low,Low
689,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
690,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
691,Banana,Musa acuminata,High,High,High,M,M
692,Tomato,Solanum lycopersicum,High,M,M,Low,Low
693,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
694,Mango,Mangifera indica,High,High,M,Medium,Medium
695,Castor,Ricinus communis,High,M,High,Medium,Low
696,Mustard,Brassica   ,High,M,M,Low,Low
697,Cucumber,Cucumis sativus,Low,High,High,Low,Low
698,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
699,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
700,Pumpkin,Cucurbita,High,M,High,Medium,Medium
701,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
702,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
703,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
704,Sun Flower,Helianthus,High,M,M,Low,VeryLow
705,Garlic,,High,Low,High,,VeryLow
706,Peas,,High,Low,High,VeryLow,VeryLow
707,Orange,,High,Low,High,VeryLow,VeryLow
708,Celery,,High,Low,High,VeryLow,VeryLow
709,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
710,TableTomato,,High,Low,High,VeryLow,VeryLow
711,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
712,Sorghum,,M,Low,M,VeryLow,VeryLow
713,PearlMillet,,M,Low,M,VeryLow,VeryLow
714,Raagi,,Low,Low,Low,VeryLow,VeryLow
715,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
716,Barley,,Low,Low,Low,VeryLow,VeryLow
717,ChickPea,,M,Low,M,VeryLow,VeryLow
718,PigeonPea,,M,Low,Low,VeryLow,VeryLow
719,SoyaBean,,High,Low,M,VeryLow,VeryLow
720,Jute,,M,Low,M,VeryLow,VeryLow
721,Rubber,,Low,M,Low,,
722,Tea,,High,Low,M,,
723,Tobacco,,High,Low,M,,
724,Apple,,High,Low,M,,
725,CustardApple,,M,Low,M,,
726,WaterMelon,,High,Low,M,,
727,Beetroot,,High,High,High,,
728,Carrot,,High,High,M,,
729,Rice,Oryza sativum,High,M,M,High,Medium
730,Wheat,Triticum,High,Low,M,Medium,Medium
731,Maize,Zea mays,High,High,Low,Low,VeryLow
732,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
733,Coconut,Cocus nucifera,M,High,M,Low,Low
734,Chilli,Capsicum frutescens,High,M,M,Low,Low
735,Cotton,Gossypium,High,M,M,Low,Low
736,Redgram,Cajanus cajan,Low,M,Low,Low,Low
737,Onion,Allium sepa,High,M,High,High,High
738,Potato,Solanum tuberosum,High,High,High,Low,Low
739,Brinjal,Solanum melongena,High,M,M,Low,Low
740,Drumstick,Moringa oleifera,M,Low,High,Low,Low
741,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
742,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
743,Banana,Musa acuminata,High,High,High,M,M
744,Tomato,Solanum lycopersicum,High,M,M,Low,Low
745,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
746,Mango,Mangifera indica,High,High,M,Medium,Medium
747,Castor,Ricinus communis,High,M,High,Medium,Low
748,Mustard,Brassica   ,High,M,M,Low,Low
749,Cucumber,Cucumis sativus,Low,High,High,Low,Low
750,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
751,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
752,Pumpkin,Cucurbita,High,M,High,Medium,Medium
753,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
754,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
755,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
756,Sun Flower,Helianthus,High,M,M,Low,VeryLow
757,Garlic,,High,Low,High,,VeryLow
758,Peas,,High,Low,High,VeryLow,VeryLow
759,Orange,,High,Low,High,VeryLow,VeryLow
760,Celery,,High,Low,High,VeryLow,VeryLow
761,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
762,TableTomato,,High,Low,High,VeryLow,VeryLow
763,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
764,Sorghum,,M,Low,M,VeryLow,VeryLow
765,PearlMillet,,M,Low,M,VeryLow,VeryLow
766,Raagi,,Low,Low,Low,VeryLow,VeryLow
767,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
768,Barley,,Low,Low,Low,VeryLow,VeryLow
769,ChickPea,,M,Low,M,VeryLow,VeryLow
770,PigeonPea,,M,Low,Low,VeryLow,VeryLow
771,SoyaBean,,High,Low,M,VeryLow,VeryLow
772,Jute,,M,Low,M,VeryLow,VeryLow
773,Rubber,,Low,M,Low,,
774,Tea,,High,Low,M,,
775,Tobacco,,High,Low,M,,
776,Apple,,High,Low,M,,
777,CustardApple,,M,Low,M,,
778,WaterMelon,,High,Low,M,,
779,Beetroot,,High,High,High,,
780,Carrot,,High,High,M,,
781,Rice,Oryza sativum,High,M,M,High,Medium
782,Wheat,Triticum,High,Low,M,Medium,Medium
783,Maize,Zea mays,High,High,Low,Low,VeryLow
784,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
785,Coconut,Cocus nucifera,M,High,M,Low,Low
786,Chilli,Capsicum frutescens,High,M,M,Low,Low
787,Cotton,Gossypium,High,M,M,Low,Low
788,Redgram,Cajanus cajan,Low,M,Low,Low,Low
789,Onion,Allium sepa,High,M,High,High,High
790,Potato,Solanum tuberosum,High,High,High,Low,Low
791,Brinjal,Solanum melongena,High,M,M,Low,Low
792,Drumstick,Moringa oleifera,M,Low,High,Low,Low
793,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
794,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
795,Banana,Musa acuminata,High,High,High,M,M
796,Tomato,Solanum lycopersicum,High,M,M,Low,Low
797,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
798,Mango,Mangifera indica,High,High,M,Medium,Medium
799,Castor,Ricinus communis,High,M,High,Medium,Low
800,Mustard,Brassica   ,High,M,M,Low,Low
801,Cucumber,Cucumis sativus,Low,High,High,Low,Low
802,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
803,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
804,Pumpkin,Cucurbita,High,M,High,Medium,Medium
805,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
806,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
807,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
808,Sun Flower,Helianthus,High,M,M,Low,VeryLow
809,Garlic,,High,Low,High,,VeryLow
810,Peas,,High,Low,High,VeryLow,VeryLow
811,Orange,,High,Low,High,VeryLow,VeryLow
812,Celery,,High,Low,High,VeryLow,VeryLow
813,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
814,TableTomato,,High,Low,High,VeryLow,VeryLow
815,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
816,Sorghum,,M,Low,M,VeryLow,VeryLow
817,PearlMillet,,M,Low,M,VeryLow,VeryLow
818,Raagi,,Low,Low,Low,VeryLow,VeryLow
819,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
820,Barley,,Low,Low,Low,VeryLow,VeryLow
821,ChickPea,,M,Low,M,VeryLow,VeryLow
822,PigeonPea,,M,Low,Low,VeryLow,VeryLow
823,SoyaBean,,High,Low,M,VeryLow,VeryLow
824,Jute,,M,Low,M,VeryLow,VeryLow
825,Rubber,,Low,M,Low,,
826,Tea,,High,Low,M,,
827,Tobacco,,High,Low,M,,
828,Apple,,High,Low,M,,
829,CustardApple,,M,Low,M,,
830,WaterMelon,,High,Low,M,,
831,Beetroot,,High,High,High,,
832,Carrot,,High,High,M,,
833,Rice,Oryza sativum,High,M,M,High,Medium
834,Wheat,Triticum,High,Low,M,Medium,Medium
835,Maize,Zea mays,High,High,Low,Low,VeryLow
836,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
837,Coconut,Cocus nucifera,M,High,M,Low,Low
838,Chilli,Capsicum frutescens,High,M,M,Low,Low
839,Cotton,Gossypium,High,M,M,Low,Low
840,Redgram,Cajanus cajan,Low,M,Low,Low,Low
841,Onion,Allium sepa,High,M,High,High,High
842,Potato,Solanum tuberosum,High,High,High,Low,Low
843,Brinjal,Solanum melongena,High,M,M,Low,Low
844,Drumstick,Moringa oleifera,M,Low,High,Low,Low
845,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
846,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
847,Banana,Musa acuminata,High,High,High,M,M
848,Tomato,Solanum lycopersicum,High,M,M,Low,Low
849,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
850,Mango,Mangifera indica,High,High,M,Medium,Medium
851,Castor,Ricinus communis,High,M,High,Medium,Low
852,Mustard,Brassica   ,High,M,M,Low,Low
853,Cucumber,Cucumis sativus,Low,High,High,Low,Low
854,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
855,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
856,Pumpkin,Cucurbita,High,M,High,Medium,Medium
857,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
858,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
859,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
860,Sun Flower,Helianthus,High,M,M,Low,VeryLow
861,Garlic,,High,Low,High,,VeryLow
862,Peas,,High,Low,High,VeryLow,VeryLow
863,Orange,,High,Low,High,VeryLow,VeryLow
864,Celery,,High,Low,High,VeryLow,VeryLow
865,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
866,TableTomato,,High,Low,High,VeryLow,VeryLow
867,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
868,Sorghum,,M,Low,M,VeryLow,VeryLow
869,PearlMillet,,M,Low,M,VeryLow,VeryLow
870,Raagi,,Low,Low,Low,VeryLow,VeryLow
871,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
872,Barley,,Low,Low,Low,VeryLow,VeryLow
873,ChickPea,,M,Low,M,VeryLow,VeryLow
874,PigeonPea,,M,Low,Low,VeryLow,VeryLow
875,SoyaBean,,High,Low,M,VeryLow,VeryLow
876,Jute,,M,Low,M,VeryLow,VeryLow
877,Rubber,,Low,M,Low,,
878,Tea,,High,Low,M,,
879,Tobacco,,High,Low,M,,
880,Apple,,High,Low,M,,
881,CustardApple,,M,Low,M,,
882,WaterMelon,,High,Low,M,,
883,Beetroot,,High,High,High,,
884,Carrot,,High,High,M,,
885,Rice,Oryza sativum,High,M,M,High,Medium
886,Wheat,Triticum,High,Low,M,Medium,Medium
887,Maize,Zea mays,High,High,Low,Low,VeryLow
888,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
889,Coconut,Cocus nucifera,M,High,M,Low,Low
890,Chilli,Capsicum frutescens,High,M,M,Low,Low
891,Cotton,Gossypium,High,M,M,Low,Low
892,Redgram,Cajanus cajan,Low,M,Low,Low,Low
893,Onion,Allium sepa,High,M,High,High,High
894,Potato,Solanum tuberosum,High,High,High,Low,Low
895,Brinjal,Solanum melongena,High,M,M,Low,Low
896,Drumstick,Moringa oleifera,M,Low,High,Low,Low
897,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
898,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
899,Banana,Musa acuminata,High,High,High,M,M
900,Tomato,Solanum lycopersicum,High,M,M,Low,Low
901,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
902,Mango,Mangifera indica,High,High,M,Medium,Medium
903,Castor,Ricinus communis,High,M,High,Medium,Low
904,Mustard,Brassica   ,High,M,M,Low,Low
905,Cucumber,Cucumis sativus,Low,High,High,Low,Low
906,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
907,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
908,Pumpkin,Cucurbita,High,M,High,Medium,Medium
909,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
910,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
911,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
912,Sun Flower,Helianthus,High,M,M,Low,VeryLow
913,Garlic,,High,Low,High,,VeryLow
914,Peas,,High,Low,High,VeryLow,VeryLow
915,Orange,,High,Low,High,VeryLow,VeryLow
916,Celery,,High,Low,High,VeryLow,VeryLow
917,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
918,TableTomato,,High,Low,High,VeryLow,VeryLow
919,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
920,Sorghum,,M,Low,M,VeryLow,VeryLow
921,PearlMillet,,M,Low,M,VeryLow,VeryLow
922,Raagi,,Low,Low,Low,VeryLow,VeryLow
923,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
924,Barley,,Low,Low,Low,VeryLow,VeryLow
925,ChickPea,,M,Low,M,VeryLow,VeryLow
926,PigeonPea,,M,Low,Low,VeryLow,VeryLow
927,SoyaBean,,High,Low,M,VeryLow,VeryLow
928,Jute,,M,Low,M,VeryLow,VeryLow
929,Rubber,,Low,M,Low,,
930,Tea,,High,Low,M,,
931,Tobacco,,High,Low,M,,
932,Apple,,High,Low,M,,
933,CustardApple,,M,Low,M,,
934,WaterMelon,,High,Low,M,,
935,Beetroot,,High,High,High,,
936,Carrot,,High,High,M,,
937,Rice,Oryza sativum,High,M,M,High,Medium
938,Wheat,Triticum,High,Low,M,Medium,Medium
939,Maize,Zea mays,High,High,Low,Low,VeryLow
940,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
941,Coconut,Cocus nucifera,M,High,M,Low,Low
942,Chilli,Capsicum frutescens,High,M,M,Low,Low
943,Cotton,Gossypium,High,M,M,Low,Low
944,Redgram,Cajanus cajan,Low,M,Low,Low,Low
945,Onion,Allium sepa,High,M,High,High,High
946,Potato,Solanum tuberosum,High,High,High,Low,Low
947,Brinjal,Solanum melongena,High,M,M,Low,Low
948,Drumstick,Moringa oleifera,M,Low,High,Low,Low
949,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
950,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
951,Banana,Musa acuminata,High,High,High,M,M
952,Tomato,Solanum lycopersicum,High,M,M,Low,Low
953,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
954,Mango,Mangifera indica,High,High,M,Medium,Medium
955,Castor,Ricinus communis,High,M,High,Medium,Low
956,Mustard,Brassica   ,High,M,M,Low,Low
957,Cucumber,Cucumis sativus,Low,High,High,Low,Low
958,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
959,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
960,Pumpkin,Cucurbita,High,M,High,Medium,Medium
961,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
962,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
963,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
964,Sun Flower,Helianthus,High,M,M,Low,VeryLow
965,Garlic,,High,Low,High,,VeryLow
966,Peas,,High,Low,High,VeryLow,VeryLow
967,Orange,,High,Low,High,VeryLow,VeryLow
968,Celery,,High,Low,High,VeryLow,VeryLow
969,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
970,TableTomato,,High,Low,High,VeryLow,VeryLow
971,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
972,Sorghum,,M,Low,M,VeryLow,VeryLow
973,PearlMillet,,M,Low,M,VeryLow,VeryLow
974,Raagi,,Low,Low,Low,VeryLow,VeryLow
975,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
976,Barley,,Low,Low,Low,VeryLow,VeryLow
977,ChickPea,,M,Low,M,VeryLow,VeryLow
978,PigeonPea,,M,Low,Low,VeryLow,VeryLow
979,SoyaBean,,High,Low,M,VeryLow,VeryLow
980,Jute,,M,Low,M,VeryLow,VeryLow
981,Rubber,,Low,M,Low,,
982,Tea,,High,Low,M,,
983,Tobacco,,High,Low,M,,
984,Apple,,High,Low,M,,
985,CustardApple,,M,Low,M,,
986,WaterMelon,,High,Low,M,,
987,Beetroot,,High,High,High,,
988,Carrot,,High,High,M,,
989,Rice,Oryza sativum,High,M,M,High,Medium
990,Wheat,Triticum,High,Low,M,Medium,Medium
991,Maize,Zea mays,High,High,Low,Low,VeryLow
992,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
993,Coconut,Cocus nucifera,M,High,M,Low,Low
994,Chilli,Capsicum frutescens,High,M,M,Low,Low
995,Cotton,Gossypium,High,M,M,Low,Low
996,Redgram,Cajanus cajan,Low,M,Low,Low,Low
997,Onion,Allium sepa,High,M,High,High,High
998,Potato,Solanum tuberosum,High,High,High,Low,Low
999,Brinjal,Solanum melongena,High,M,M,Low,Low
1000,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1001,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1002,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1003,Banana,Musa acuminata,High,High,High,M,M
1004,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1005,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1006,Mango,Mangifera indica,High,High,M,Medium,Medium
1007,Castor,Ricinus communis,High,M,High,Medium,Low
1008,Mustard,Brassica   ,High,M,M,Low,Low
1009,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1010,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1011,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1012,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1013,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1014,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1015,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1016,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1017,Garlic,,High,Low,High,,VeryLow
1018,Peas,,High,Low,High,VeryLow,VeryLow
